Team,Standing
Golden State Warriors,0.89
San Antonio Spurs,0.817
Cleveland Cavaliers,0.695
Toronto Raptors,0.683
Oklahoma City Thunder,0.671
Los Angeles Clippers,0.646
Atlanta Hawks,0.585
Boston Celtics,0.585
Miami Heat,0.585
Charlotte Hornets,0.585
Indiana Pacers,0.549
Detroit Pistons,0.537
Portland Trailblazers,0.537
Dallas Mavericks,0.512
Chicago Bulls,0.512
Memphis Grizzlies,0.512
Washington Wizards,0.5
Houston Rockets,0.5
Utah Jazz,0.488
Orlando Magic,0.427
Denver Nuggets,0.402
Sacramento Kings,0.402
Milwaukee Bucks,0.402
New York Knicks,0.39
New Orleans Pelicans,0.366
Minnesota Timberwolves,0.354
Phoenix Suns,0.28
Brooklyn Nets,0.256
Los Angeles Lakers,0.207
Philadelphia 76ers,0.122
,
,
