Player,Team,GP,Poss,Freq,PPP,PTS,FGM,FGA,FG%,eFG%,FT Freq,TO Freq,SF Freq,And One Freq,Score Freq,Percentile
Aaron Gordon,ORL,78,30,4.10%,0.6,18,8,26,30.8,30.8,3.30%,10.00%,3.30%,0.00%,30.00%,14.4
Aaron Brooks,CHI,68,41,7.10%,0.78,32,12,33,36.4,36.4,14.60%,7.30%,14.60%,2.40%,41.50%,44.3
Adreian Payne,MIN,47,16,8.30%,0.44,7,3,11,27.3,31.8,0.00%,31.30%,0.00%,0.00%,18.80%,4.5
Al Horford,ATL,82,40,3.30%,0.73,29,14,34,41.2,41.2,2.50%,15.00%,2.50%,2.50%,35.00%,31.6
Al Farouq Aminu,POR,82,34,3.80%,0.32,11,3,23,13,13,8.80%,23.50%,5.90%,0.00%,17.60%,2.4
Alan Anderson,WAS,12,11,16.70%,0.82,9,3,9,33.3,33.3,18.20%,9.10%,18.20%,9.10%,36.40%,53.6
Alec Burks,UTA,31,52,11.70%,0.77,40,14,41,34.1,36.6,15.40%,7.70%,15.40%,1.90%,40.40%,42
Alex Len,PHX,77,22,2.50%,0.27,6,3,19,15.8,15.8,4.50%,9.10%,4.50%,0.00%,13.60%,1
Amir Johnson,BOS,79,18,3.10%,1.11,20,10,16,62.5,62.5,0.00%,11.10%,0.00%,0.00%,55.60%,95.2
Andre Drummond,DET,81,53,3.60%,0.62,33,12,36,33.3,33.3,24.50%,13.20%,20.80%,5.70%,35.80%,18.6
Andre Iguodala,GSW,65,38,7.90%,0.95,36,15,34,44.1,48.5,10.50%,5.30%,10.50%,5.30%,44.70%,79.7
Andrea Bargnani,BKN,45,17,5.20%,0.59,10,4,11,36.4,36.4,11.80%,23.50%,5.90%,0.00%,29.40%,12.8
Andrew Wiggins,MIN,81,177,10.20%,0.85,151,51,138,37,38,17.50%,6.20%,14.70%,1.70%,43.50%,59
Anthony Davis,NOP,61,124,8.70%,0.68,84,37,106,34.9,35.4,8.10%,8.90%,8.10%,2.40%,34.70%,23.7
Anthony Morrow,OKC,64,18,5.00%,1.5,27,10,16,62.5,78.1,5.60%,5.60%,5.60%,0.00%,61.10%,99.3
Archie Goodwin,PHX,55,50,8.30%,0.88,44,16,43,37.2,43,12.00%,4.00%,12.00%,2.00%,40.00%,64.9
Arron Afflalo,NYK,71,82,8.80%,1.04,85,35,75,46.7,50,8.50%,3.70%,8.50%,3.70%,47.60%,91.8
Austin Rivers,LAC,67,90,14.30%,0.81,73,24,73,32.9,34.2,17.80%,4.40%,15.60%,3.30%,41.10%,51.2
Avery Bradley,BOS,76,46,3.90%,0.7,32,13,40,32.5,36.3,6.50%,6.50%,6.50%,0.00%,34.80%,27.1
Ben McLemore,SAC,67,27,4.50%,0.85,23,8,21,38.1,42.9,11.10%,11.10%,11.10%,0.00%,40.70%,58.3
Blake Griffin,LAC,35,73,9.40%,1.05,77,30,62,48.4,50,15.10%,1.40%,12.30%,1.40%,53.40%,92.8
Bobby Portis,CHI,62,44,8.50%,0.52,23,11,41,26.8,26.8,2.30%,4.50%,2.30%,0.00%,27.30%,8.9
Bojan Bogdanovic,BKN,79,72,7.80%,0.75,54,20,57,35.1,40.4,5.60%,15.30%,5.60%,0.00%,33.30%,37.5
Boris Diaw,SAS,76,23,4.50%,1,23,10,22,45.5,47.7,8.70%,0.00%,8.70%,4.30%,47.80%,88
Bradley Beal,WAS,55,58,6.00%,1.02,59,24,49,49,51,12.10%,10.30%,10.30%,6.90%,46.60%,89.3
Brandon Jennings,ORL,25,18,8.50%,0.56,10,4,17,23.5,26.5,5.60%,0.00%,5.60%,0.00%,27.80%,11.3
Brandon Bass,LAL,66,28,6.50%,0.54,15,5,21,23.8,23.8,10.70%,14.30%,10.70%,0.00%,28.60%,10
Brandon Knight,PHX,52,119,10.40%,0.88,105,34,95,35.8,41.6,12.60%,9.20%,6.70%,1.70%,39.50%,65.9
Brian Roberts,CHA,30,14,9.70%,0.64,9,2,10,20,20,21.40%,7.10%,21.40%,0.00%,35.70%,19.9
Brook Lopez,BKN,73,99,6.60%,0.93,92,34,80,42.5,42.5,16.20%,6.10%,15.20%,3.00%,46.50%,75.3
CJ Miles,IND,64,20,2.60%,1.05,21,7,17,41.2,50,10.00%,5.00%,5.00%,0.00%,45.00%,92.4
CJ McCollum,POR,80,195,11.40%,0.87,169,72,172,41.9,45.9,4.60%,8.20%,3.10%,1.00%,40.50%,63.8
CJ Watson,ORL,32,10,5.60%,0.8,8,1,6,16.7,16.7,40.00%,10.00%,20.00%,10.00%,40.00%,47.2
Cameron Payne,OKC,56,11,3.30%,0.73,8,4,9,44.4,44.4,0.00%,18.20%,0.00%,0.00%,36.40%,32.2
Carl Landry,PHI,36,17,5.40%,0.59,10,3,15,20,20,11.80%,0.00%,11.80%,0.00%,29.40%,12.8
Carmelo Anthony,NYK,72,393,23.70%,0.95,374,139,318,43.7,45.3,14.20%,7.10%,12.50%,2.30%,47.30%,80.4
Chandler Parsons,DAL,61,62,7.70%,0.98,61,17,43,39.5,43,25.80%,9.70%,24.20%,4.80%,45.20%,84.5
Chris Bosh,MIA,53,129,13.40%,1.12,144,52,104,50,51,18.60%,4.70%,19.40%,4.70%,54.30%,95.5
Chris Paul,LAC,74,220,15.20%,0.91,201,72,190,37.9,44.2,7.70%,5.90%,4.50%,0.00%,40.50%,71.8
Cody Zeller,CHA,73,12,2.00%,0.58,7,1,7,14.3,14.3,33.30%,8.30%,25.00%,0.00%,33.30%,12.1
Corey Brewer,HOU,82,14,2.00%,0.86,12,4,13,30.8,34.6,14.30%,0.00%,14.30%,7.10%,35.70%,61.4
Cory Joseph,TOR,80,86,11.20%,0.83,71,27,68,39.7,39.7,11.60%,9.30%,10.50%,0.00%,43.00%,54.6
Courtney Lee,CHA,28,14,5.50%,0.86,12,5,10,50,50,7.10%,21.40%,7.10%,0.00%,42.90%,61.4
DAngelo Russell,LAL,80,73,5.90%,1.08,79,29,66,43.9,53.8,9.60%,5.50%,8.20%,5.50%,42.50%,94.8
DJ Augustin,DEN,28,21,6.50%,0.76,16,6,15,40,43.3,14.30%,19.00%,9.50%,4.80%,38.10%,40.3
Damian Lillard,POR,75,327,17.20%,1.01,331,105,260,40.4,46,17.10%,5.50%,15.30%,2.40%,46.20%,89
Danilo Gallinari,DEN,53,183,18.90%,0.85,155,44,136,32.4,33.1,20.20%,7.10%,16.90%,2.20%,42.10%,57.7
Danny Green,SAS,79,12,1.80%,0.5,6,2,9,22.2,22.2,8.30%,16.70%,0.00%,0.00%,25.00%,7.3
Darrell Arthur,DEN,70,14,2.40%,0.29,4,2,13,15.4,15.4,0.00%,7.10%,0.00%,0.00%,14.30%,1.4
Darren Collison,SAC,74,111,11.10%,0.9,100,35,81,43.2,44.4,18.90%,11.70%,17.10%,3.60%,45.90%,69.1
David West,SAS,78,19,3.50%,0.68,13,5,15,33.3,33.3,10.50%,10.50%,10.50%,0.00%,36.80%,24.7
David Lee,BOS,30,14,5.50%,0.43,6,3,13,23.1,23.1,0.00%,7.10%,0.00%,0.00%,21.40%,4.1
DeMar DeRozan,TOR,78,296,16.10%,0.92,272,88,226,38.9,39.8,19.30%,6.80%,17.60%,2.40%,46.30%,73.2
DeMarcus Cousins,SAC,65,209,11.10%,0.68,143,50,154,32.5,32.8,15.80%,14.80%,13.90%,4.30%,34.40%,24.7
DeMarre Carroll,TOR,26,19,5.90%,0.63,12,3,14,21.4,21.4,26.30%,0.00%,26.30%,0.00%,36.80%,19.6
Dennis Schroder,ATL,80,72,6.90%,0.96,69,24,52,46.2,49,16.70%,13.90%,13.90%,2.80%,47.20%,81.8
Deron Williams,DAL,65,112,11.00%,0.88,98,42,96,43.8,46.4,4.50%,9.80%,3.60%,0.00%,42.00%,64.5
Derrick Rose,CHI,66,126,9.70%,0.82,103,44,103,42.7,43.2,7.10%,12.70%,6.30%,1.60%,40.50%,53.3
Derrick Favors,UTA,62,26,2.50%,0.88,23,11,22,50,50,3.80%,11.50%,3.80%,0.00%,46.20%,66.9
Derrick Williams,NYK,79,81,10.90%,0.94,76,25,62,40.3,43.5,21.00%,6.20%,19.80%,3.70%,46.90%,78.7
Devin Booker,PHX,75,70,6.20%,0.81,57,18,55,32.7,35.5,17.10%,5.70%,15.70%,1.40%,38.60%,52.2
Devin Harris,DAL,64,18,3.60%,0.78,14,6,14,42.9,46.4,5.60%,16.70%,5.60%,0.00%,38.90%,43.8
Dion Waiters,OKC,78,136,15.20%,0.77,105,39,106,36.8,39.2,11.80%,11.80%,10.30%,2.20%,38.20%,43.3
Dirk Nowitzki,DAL,75,61,4.60%,1.07,65,23,47,48.9,50,16.40%,6.60%,13.10%,0.00%,54.10%,93.8
Donald Sloan,BKN,61,29,6.10%,1,29,9,22,40.9,43.2,20.70%,6.90%,20.70%,3.40%,48.30%,88
Draymond Green,GSW,81,61,5.00%,0.9,55,21,47,44.7,47.9,18.00%,11.50%,16.40%,6.60%,44.30%,69.4
Dwyane Wade,MIA,74,172,11.00%,0.72,123,54,145,37.2,37.2,6.40%,9.90%,5.80%,0.60%,36.00%,29.9
ETwaun Moore,CHI,59,15,3.30%,0.73,11,5,13,38.5,38.5,6.70%,6.70%,0.00%,0.00%,40.00%,33.4
Elfrid Payton,ORL,73,70,7.10%,0.86,60,24,55,43.6,43.6,15.70%,8.60%,11.40%,2.90%,44.30%,61.4
