Player,Team,GP,Poss,Freq,PPP,PTS,FGM,FGA,FG%,eFG%,FT Freq,TO Freq,SF Freq,And One Freq,Score Freq,Percentile
Aaron Gordon,ORL,78,37,5.10%,1,37,15,29,51.7,51.7,10.80%,10.80%,8.10%,0.00%,51.40%,94.4
Aaron Brooks,CHI,68,323,56.10%,0.82,265,109,264,41.3,46,4.30%,14.90%,4.30%,0.90%,36.80%,61.7
Al Farouq Aminu,POR,82,76,8.50%,0.68,52,21,60,35,38.3,6.60%,15.80%,6.60%,1.30%,32.90%,29
Alec Burks,UTA,31,140,31.50%,0.82,115,46,108,42.6,45.8,9.30%,14.30%,8.60%,2.10%,38.60%,62.6
Allen Crabbe,POR,81,72,9.20%,0.75,54,24,65,36.9,37.7,4.20%,5.60%,2.80%,0.00%,37.50%,44
Alonzo Gee,NOP,70,10,3.00%,0.7,7,3,8,37.5,37.5,10.00%,20.00%,10.00%,10.00%,30.00%,31.8
Andre Iguodala,GSW,65,37,7.70%,0.49,18,8,27,29.6,33.3,0.00%,27.00%,0.00%,0.00%,21.60%,7.6
Andre Miller,SAS,11,25,37.90%,0.8,20,8,19,42.1,42.1,8.00%,16.00%,8.00%,0.00%,40.00%,56.4
Andrew Wiggins,MIN,81,327,18.90%,0.85,277,95,244,38.9,40.6,15.90%,11.30%,14.10%,2.40%,42.20%,70.3
Anthony Brown,LAL,27,10,6.70%,0.5,5,2,10,20,20,10.00%,0.00%,10.00%,10.00%,20.00%,8
Anthony Morrow,OKC,64,16,4.40%,0.75,12,5,13,38.5,38.5,6.30%,12.50%,6.30%,0.00%,37.50%,44
Archie Goodwin,PHX,55,156,25.90%,0.62,97,33,96,34.4,35.4,16.00%,24.40%,15.40%,1.90%,32.10%,19.3
Arron Afflalo,NYK,71,75,8.00%,0.73,55,25,67,37.3,38.8,2.70%,8.00%,2.70%,0.00%,36.00%,39
Austin Rivers,LAC,67,210,33.30%,0.85,179,75,169,44.4,46.4,8.10%,12.90%,7.10%,1.40%,41.40%,71
Avery Bradley,BOS,76,160,13.50%,0.75,120,52,136,38.2,41.5,3.10%,13.10%,3.10%,1.30%,34.40%,44
