Player,Team,GP,Poss,Freq,PPP,PTS,FGM,FGA,FG%,eFG%,FT,TO,SF,And One,Score,Percentile
,,,,,,,,,,,Freq,Freq,Freq,Freq,Freq,
Zaza Pachulia,DAL,75,128,17.90%,0.97,124,39,90,43.3,43.3,24.20%,7.80%,23.40%,2.30%,52.30%,43.1
Zach Randolph,MEM,68,107,9.70%,0.96,103,43,93,46.2,47.3,7.50%,5.60%,7.50%,0.00%,47.70%,40.6
Willie Reed,BKN,35,44,25.30%,1.18,52,20,31,64.5,64.5,27.30%,6.80%,27.30%,4.50%,61.40%,84.9
Willie Cauley-Stein,SAC,65,63,14.20%,1.14,72,31,54,57.4,57.4,11.10%,6.30%,11.10%,3.20%,57.10%,80.4
Wesley Matthews,DAL,78,13,1.30%,0.69,9,2,10,20,30,15.40%,7.70%,15.40%,0.00%,30.80%,6.8
Wesley Johnson,LAC,78,34,5.80%,0.91,31,12,32,37.5,48.4,0.00%,5.90%,0.00%,0.00%,35.30%,30.1
Tyson Chandler,PHX,65,87,18.00%,1.14,99,35,64,54.7,54.7,27.60%,3.40%,27.60%,5.70%,60.90%,79.9
Tyler Zeller,BOS,60,132,34.50%,0.95,126,46,103,44.7,44.7,16.70%,9.10%,13.60%,3.80%,47.70%,38.5
Tristan Thompson,CLE,81,124,21.00%,1.29,160,63,94,67,67,24.20%,5.60%,23.40%,5.60%,67.70%,91.3
Trey Lyles,UTA,77,85,15.80%,0.91,77,32,77,41.6,44.8,8.20%,4.70%,5.90%,3.50%,42.40%,29.2
Trevor Booker,UTA,79,84,16.10%,0.98,82,37,68,54.4,54.4,9.50%,11.90%,9.50%,2.40%,48.80%,44.3
Trevor Ariza,HOU,81,14,1.30%,0.86,12,4,13,30.8,46.2,0.00%,7.10%,0.00%,0.00%,28.60%,21.1
Tobias Harris,ORL,49,43,6.30%,0.98,42,16,33,48.5,51.5,16.30%,7.00%,18.60%,2.30%,48.80%,44.7
Timofey Mozgov,CLE,75,79,16.80%,1.22,96,41,62,66.1,66.1,13.90%,8.90%,13.90%,1.30%,62.00%,87.7
Tim Duncan,SAS,61,141,24.20%,0.96,136,55,117,47,47,16.30%,5.00%,14.90%,4.30%,49.60%,42
Tiago Splitter,ATL,36,32,15.90%,0.75,24,11,26,42.3,42.3,3.10%,15.60%,3.10%,0.00%,37.50%,11.1
Thomas Robinson,BKN,66,106,26.30%,0.77,82,35,83,42.2,42.2,16.00%,14.20%,16.00%,8.50%,38.70%,12.3
Thaddeus Young,BKN,73,212,18.10%,1.04,221,104,186,55.9,56.2,4.70%,8.50%,4.70%,0.90%,51.90%,61.2
Terrence Jones,HOU,50,56,12.00%,1.11,62,23,46,50,53.3,21.40%,5.40%,21.40%,8.90%,51.80%,73.9
Tayshaun Prince,MIN,76,10,3.80%,0.4,4,2,8,25,25,0.00%,20.00%,0.00%,0.00%,20.00%,0
Tarik Black,LAL,38,43,28.90%,1,43,20,36,55.6,55.6,14.00%,4.70%,14.00%,2.30%,53.50%,50.7
Taj Gibson,CHI,73,77,12.00%,0.88,68,28,64,43.8,43.8,10.40%,6.50%,9.10%,0.00%,46.80%,24.2
Steven Adams,OKC,80,148,24.70%,1.12,166,75,119,63,63,11.50%,10.10%,12.20%,2.70%,57.40%,76.7
Stephen Curry,GSW,79,15,0.70%,0.93,14,5,13,38.5,53.8,0.00%,13.30%,0.00%,0.00%,33.30%,32.9
Spencer Hawes,CHA,57,71,18.10%,1.01,72,26,61,42.6,50.8,8.50%,7.00%,7.00%,1.40%,43.70%,54.3
Solomon Hill,IND,49,13,5.00%,1.23,16,7,11,63.6,68.2,7.70%,7.70%,7.70%,0.00%,61.50%,88.6
Serge Ibaka,OKC,78,277,26.90%,0.96,266,121,245,49.4,49.4,5.80%,6.90%,5.40%,1.10%,48.00%,39.7
Salah Mejri,DAL,28,29,23.40%,1.34,39,15,19,78.9,78.9,27.60%,10.30%,20.70%,3.40%,75.90%,94.5
Ryan Kelly,LAL,34,21,10.90%,0.67,14,5,19,26.3,26.3,14.30%,0.00%,14.30%,4.80%,33.30%,6
Ryan Hollins,MEM,15,10,14.30%,1.3,13,5,7,71.4,71.4,20.00%,10.00%,20.00%,0.00%,70.00%,92.7
Ryan Anderson,NOP,66,168,15.10%,1.07,179,59,140,42.1,51.4,13.10%,6.00%,12.50%,2.40%,45.80%,63.5
Rudy Gobert,UTA,61,106,17.50%,1.08,115,40,66,60.6,60.6,29.20%,9.40%,25.50%,0.90%,63.20%,68
Rudy Gay,SAC,70,62,4.90%,0.82,51,20,56,35.7,39.3,6.50%,3.20%,6.50%,0.00%,38.70%,15.1
Roy Hibbert,LAL,81,94,17.00%,0.93,87,39,84,46.4,46.4,7.40%,5.30%,5.30%,2.10%,46.80%,31.5
Robin Lopez,NYK,82,113,13.00%,1.04,117,47,87,54,54,11.50%,11.50%,10.60%,0.00%,53.10%,57.5
Robert Sacre,LAL,23,25,23.60%,1.04,26,12,24,50,50,4.00%,0.00%,4.00%,0.00%,52.00%,59.4
Robert Covington,PHI,67,51,5.50%,1.35,69,23,45,51.1,71.1,5.90%,5.90%,5.90%,0.00%,51.00%,95
Richaun Holmes,PHI,50,61,21.30%,1.03,63,25,50,50,51,14.80%,4.90%,14.80%,1.60%,54.10%,56.4
Quincy Acy,SAC,55,38,14.10%,0.89,34,14,34,41.2,45.6,5.30%,7.90%,5.30%,2.60%,39.50%,26.9
Paul Pierce,LAC,68,79,16.30%,0.87,69,25,74,33.8,45.3,1.30%,5.10%,1.30%,0.00%,32.90%,23.3
Paul George,IND,81,22,1.10%,1,22,7,20,35,47.5,9.10%,4.50%,4.50%,4.50%,36.40%,50.7
Paul Millsap,ATL,81,258,18.00%,0.97,251,90,209,43.1,50.2,12.40%,9.30%,10.50%,2.70%,43.80%,43.8
Pau Gasol,CHI,72,273,21.20%,0.99,271,114,231,49.4,49.8,10.60%,6.20%,8.10%,1.50%,50.90%,47.5
Patrick Patterson,TOR,79,81,14.20%,0.93,75,29,73,39.7,50,1.20%,8.60%,1.20%,0.00%,37.00%,32
Patrick Beverley,HOU,71,14,1.90%,1.29,18,8,14,57.1,64.3,0.00%,0.00%,0.00%,0.00%,57.10%,90.9
PJ Tucker,PHX,81,12,1.60%,0.58,7,3,11,27.3,31.8,0.00%,8.30%,0.00%,0.00%,25.00%,3.2
Otto Porter Jr.,WAS,75,22,2.60%,1.27,28,12,20,60,65,4.50%,4.50%,4.50%,0.00%,59.10%,90.4
Omri Casspi,SAC,69,22,2.80%,0.86,19,7,18,38.9,41.7,22.70%,4.50%,22.70%,9.10%,40.90%,21.9
Omer Asik,NOP,63,66,21.30%,0.98,65,23,42,54.8,54.8,22.70%,15.20%,19.70%,1.50%,54.50%,46.1
Noah Vonleh,POR,76,64,18.30%,0.72,46,18,52,34.6,38.5,7.80%,12.50%,7.80%,1.60%,32.80%,9.1
Nikola Pekovic,MIN,12,11,15.90%,1,11,5,8,62.5,62.5,9.10%,18.20%,9.10%,0.00%,54.50%,50.7
Nikola Mirotic,CHI,66,60,7.60%,1.03,62,21,52,40.4,54.8,6.70%,8.30%,6.70%,1.70%,38.30%,57.1
Nikola Jokic,DEN,79,154,19.50%,0.99,153,65,133,48.9,48.9,13.00%,6.50%,12.30%,5.80%,48.70%,47.9
Nikola Vucevic,ORL,65,226,18.40%,0.93,211,99,200,49.5,49.5,4.40%,9.30%,4.40%,2.20%,46.00%,33.3
Nick Collison,OKC,54,44,25.60%,0.91,40,16,30,53.3,53.3,13.60%,20.50%,11.40%,2.30%,47.70%,29.7
Nerlens Noel,PHI,67,157,18.40%,0.94,147,61,115,53,53,13.40%,15.90%,12.70%,2.50%,49.00%,34.2
Nene Hilario,WAS,57,92,16.90%,0.96,88,37,73,50.7,50.7,12.00%,9.80%,12.00%,1.10%,51.10%,39.3
Nemanja Bjelica,MIN,57,38,12.40%,1.37,52,17,31,54.8,74.2,7.90%,10.50%,7.90%,0.00%,52.60%,95.9
Myles Turner,IND,59,180,27.80%,0.84,151,65,157,41.4,41.7,8.90%,4.40%,8.30%,0.60%,43.90%,18.3
Montrezl Harrell,HOU,30,26,20.00%,1.04,27,12,19,63.2,63.2,15.40%,11.50%,15.40%,0.00%,57.70%,58.9
Mirza Teletovic,PHX,77,83,8.90%,1.04,86,32,78,41,53.8,2.40%,4.80%,2.40%,1.20%,39.80%,58
Miles Plumlee,MIL,54,61,20.30%,1.44,88,39,51,76.5,76.5,11.50%,4.90%,11.50%,0.00%,75.40%,98.6
Mike Muscala,ATL,52,46,23.50%,0.91,42,19,41,46.3,48.8,4.30%,8.70%,4.30%,2.20%,43.50%,30.6
Mike Scott,ATL,70,84,18.80%,1.11,93,35,79,44.3,55.1,4.80%,3.60%,3.60%,2.40%,44.00%,73.9
Michael Beasley,HOU,20,31,12.40%,0.65,20,9,25,36,36,6.50%,16.10%,6.50%,3.20%,32.30%,5.5
Meyers Leonard,POR,61,140,26.40%,1.09,152,63,130,48.5,57.3,1.40%,6.40%,1.40%,0.70%,45.70%,68.5
Maurice Harkless,POR,77,11,2.10%,0.45,5,1,8,12.5,12.5,18.20%,9.10%,18.20%,0.00%,27.30%,0.9
Matt Barnes,MEM,76,29,3.30%,1.21,35,12,24,50,64.6,6.90%,10.30%,6.90%,0.00%,48.30%,85.8
Mason Plumlee,POR,82,171,20.80%,0.98,168,58,108,53.7,53.7,24.60%,17.50%,21.10%,5.30%,52.00%,45.7
Marvin Williams,CHA,81,130,14.80%,1.13,147,56,121,46.3,57,4.60%,3.80%,4.60%,1.50%,46.20%,79.5
Marreese Speights,GSW,71,124,21.80%,1.08,134,50,105,47.6,52.9,10.50%,5.60%,8.90%,0.80%,50.00%,66.7
Markieff Morris,WAS,27,56,15.90%,1.09,61,28,52,53.8,55.8,3.60%,3.60%,3.60%,0.00%,53.60%,69.4
Marcus Morris,DET,80,51,4.30%,0.82,42,18,45,40,44.4,3.90%,7.80%,3.90%,0.00%,39.20%,15.5
Marcin Gortat,WAS,75,226,23.10%,1.21,274,120,195,61.5,61.5,12.80%,5.30%,12.40%,4.40%,60.20%,86.3
Marc Gasol,MEM,52,207,22.10%,1.09,225,94,175,53.7,53.7,11.60%,6.80%,9.20%,2.90%,53.60%,68.9
Luol Deng,MIA,74,64,7.00%,1,64,20,52,38.5,45.2,15.60%,6.30%,14.10%,3.10%,43.80%,50.7
Luis Scola,TOR,76,130,18.40%,0.83,108,48,116,41.4,44.4,3.80%,7.70%,3.80%,0.80%,39.20%,16.9
Luc Mbah a Moute,LAC,67,20,7.50%,0.75,15,7,18,38.9,38.9,10.00%,0.00%,10.00%,0.00%,40.00%,11.1
LeBron James,CLE,76,67,3.60%,1.36,91,39,56,69.6,71.4,13.40%,6.00%,13.40%,3.00%,67.20%,95.4
Lavoy Allen,IND,78,81,17.20%,1,81,38,74,51.4,51.4,8.60%,7.40%,8.60%,7.40%,48.10%,50.7
Larry Nance,LAL,62,41,11.50%,0.83,34,16,36,44.4,44.4,2.40%,9.80%,2.40%,0.00%,41.50%,16.4
Lance Thomas,NYK,59,12,2.50%,0.83,10,4,9,44.4,44.4,16.70%,16.70%,16.70%,8.30%,41.70%,17.4
LaMarcus Aldridge,SAS,74,258,20.20%,0.9,233,100,221,45.2,45.2,8.90%,6.60%,9.30%,1.60%,45.70%,28.3
Kyle O'Quinn,NYK,62,71,19.70%,0.77,55,26,63,41.3,41.3,4.20%,7.00%,2.80%,0.00%,40.80%,12.8
Kyle Lowry,TOR,77,12,0.70%,1.42,17,6,11,54.5,68.2,8.30%,0.00%,8.30%,0.00%,58.30%,97.7
Kristaps Porzingis,NYK,72,153,13.70%,1.07,164,64,127,50.4,58.7,7.20%,9.20%,7.20%,0.70%,47.70%,64.4
Kris Humphries,ATL,21,27,19.70%,0.74,20,8,24,33.3,41.7,3.70%,7.40%,3.70%,0.00%,29.60%,10.5
Kosta Koufos,SAC,77,113,21.00%,0.99,112,50,100,50,50,9.70%,4.40%,8.80%,2.70%,49.60%,47
Kobe Bryant,LAL,66,12,0.90%,0.83,10,4,11,36.4,45.5,0.00%,8.30%,0.00%,0.00%,33.30%,17.4
Klay Thompson,GSW,80,14,0.90%,0.71,10,4,13,30.8,38.5,0.00%,7.10%,0.00%,0.00%,28.60%,8.7
Khris Middleton,MIL,79,25,1.70%,0.84,21,8,24,33.3,37.5,8.00%,0.00%,8.00%,4.00%,36.00%,18.7
Kevin Seraphin,NYK,48,35,13.60%,0.86,30,14,30,46.7,46.7,2.90%,11.40%,2.90%,0.00%,42.90%,21.1
Kevin Garnett,MIN,38,28,20.00%,1.21,34,17,27,63,63,0.00%,3.60%,0.00%,0.00%,60.70%,87.2
Kevin Love,CLE,77,193,15.30%,0.95,184,63,159,39.6,47.8,11.40%,6.20%,11.40%,0.00%,43.50%,37.4
Kevin Durant,OKC,72,100,5.50%,1.08,108,41,83,49.4,55.4,10.00%,7.00%,7.00%,0.00%,51.00%,66.2
Kenneth Faried,DEN,66,132,16.20%,1.13,149,63,103,61.2,61.2,18.20%,6.80%,18.20%,3.00%,59.10%,78.1
Kendrick Perkins,NOP,35,31,24.20%,1,31,13,22,59.1,59.1,12.90%,19.40%,12.90%,3.20%,51.60%,50.7
Kelly Olynyk,BOS,69,133,19.40%,1.04,138,52,113,46,54,11.30%,5.30%,9.80%,1.50%,46.60%,58.4
Kawhi Leonard,SAS,72,14,1.10%,1.21,17,8,13,61.5,65.4,7.10%,0.00%,7.10%,0.00%,57.10%,87.2
Karl-Anthony Towns,MIN,82,358,24.80%,0.95,341,145,304,47.7,48.5,9.80%,8.70%,9.20%,3.40%,46.60%,37
Jusuf Nurkic,DEN,32,83,24.50%,1.01,84,33,64,51.6,51.6,20.50%,9.60%,18.10%,7.20%,51.80%,53.9
Julius Randle,LAL,81,103,9.40%,0.73,75,32,86,37.2,37.8,7.80%,10.70%,5.80%,1.90%,36.90%,10
Josh Smith,HOU,23,28,13.00%,0.64,18,7,23,30.4,34.8,3.60%,14.30%,3.60%,0.00%,28.60%,5
Josh McRoberts,MIA,41,36,18.40%,0.81,29,10,32,31.3,39.1,11.10%,5.60%,11.10%,5.60%,33.30%,14.6
Jordan Hill,IND,73,139,19.80%,0.96,134,58,118,49.2,49.2,8.60%,7.20%,8.60%,0.70%,48.90%,41.6
Jonas Valanciunas,TOR,60,101,14.20%,1.27,128,48,80,60,60,23.80%,4.00%,22.80%,7.90%,63.40%,90
Jonas Jerebko,BOS,76,44,11.80%,0.57,25,9,38,23.7,27.6,9.10%,6.80%,9.10%,2.30%,27.30%,2.7
Jon Leuer,PHX,67,137,23.50%,1.18,162,65,118,55.1,62.3,7.30%,8.00%,5.80%,1.50%,52.60%,85.4
Johnny OBryant,MIL,60,34,13.30%,0.71,24,10,30,33.3,33.3,5.90%,5.90%,5.90%,0.00%,35.30%,7.8
John Henson,MIL,55,89,21.90%,1.09,97,45,75,60,60,12.40%,6.70%,12.40%,3.40%,55.10%,69.9
Joffrey Lauvergne,DEN,56,115,24.60%,1.1,127,50,99,50.5,52.5,10.40%,4.30%,9.60%,0.90%,53.00%,72.1
Joakim Noah,CHI,29,20,9.90%,0.6,12,5,16,31.3,31.3,15.00%,5.00%,15.00%,0.00%,30.00%,4.1
Jimmy Butler,CHI,67,12,0.90%,1.17,14,6,11,54.5,54.5,8.30%,0.00%,8.30%,0.00%,58.30%,83.1
Jeremy Evans,DAL,23,10,15.90%,1.4,14,5,8,62.5,75,40.00%,0.00%,30.00%,20.00%,70.00%,96.8
Jerami Grant,PHI,77,90,10.50%,0.6,54,15,53,28.3,30.2,22.20%,22.20%,21.10%,3.30%,34.40%,4.1
Jeff Withey,UTA,45,39,18.00%,1.08,42,15,28,53.6,53.6,20.50%,10.30%,20.50%,2.60%,53.80%,65.8
Jeff Green,MEM,53,23,3.30%,0.78,18,8,19,42.1,42.1,8.70%,8.70%,8.70%,0.00%,39.10%,13.2
Jason Smith,ORL,75,238,40.40%,1,239,113,221,51.1,51.1,2.90%,4.20%,2.90%,0.00%,50.40%,53.4
Jason Thompson,TOR,17,14,17.10%,1,14,5,12,41.7,45.8,14.30%,7.10%,14.30%,7.10%,42.90%,50.7
Jarell Martin,MEM,25,24,14.70%,0.71,17,5,16,31.3,31.3,20.80%,12.50%,16.70%,0.00%,41.70%,8.2
Jared Sullinger,BOS,81,165,16.80%,0.87,144,65,151,43,45.7,4.80%,5.50%,4.80%,1.80%,41.20%,22.8
Jared Dudley,WAS,81,82,13.50%,0.95,78,30,70,42.9,48.6,7.30%,7.30%,7.30%,0.00%,43.90%,36.1
James Jones,CLE,39,10,6.10%,1.8,18,6,9,66.7,88.9,10.00%,0.00%,10.00%,0.00%,70.00%,99.5
Jahil Okafor,PHI,53,129,13.10%,1.02,131,58,108,53.7,53.7,9.30%,8.50%,8.50%,1.60%,51.90%,54.8
Jae Crowder,BOS,73,38,3.80%,1.24,47,18,34,52.9,61.8,10.50%,5.30%,10.50%,5.30%,52.60%,89
Jabari Parker,MIL,76,55,4.90%,0.73,40,15,46,32.6,32.6,10.90%,7.30%,10.90%,1.80%,36.40%,9.6
JaVale McGee,DAL,34,39,22.70%,1.15,45,20,29,69,69,15.40%,10.30%,10.30%,0.00%,61.50%,82.2
JaMychal Green,MEM,77,94,14.80%,0.89,84,37,80,46.3,46.3,6.40%,9.60%,5.30%,1.10%,44.70%,26.5
JJ Hickson,WAS,13,13,17.30%,0.85,11,3,6,50,50,46.20%,7.70%,38.50%,0.00%,46.20%,20.5
Ian Mahinmi,IND,71,136,20.90%,1.13,153,61,99,61.6,61.6,22.80%,8.80%,21.30%,4.40%,59.60%,77.6
Henry Sims,BKN,14,21,20.40%,1.05,22,9,17,52.9,52.9,9.50%,9.50%,9.50%,0.00%,52.40%,61.6
Hassan Whiteside,MIA,73,199,20.80%,1.34,267,112,160,70,70,17.60%,6.50%,16.60%,5.00%,67.30%,94.1
Harrison Barnes,GSW,66,22,2.90%,0.95,21,9,20,45,50,4.50%,9.10%,4.50%,4.50%,40.90%,38.5
Greg Smith,MIN,15,15,31.90%,0.8,12,4,9,44.4,44.4,26.70%,20.00%,26.70%,6.70%,40.00%,13.8
Greg Monroe,MIL,79,130,10.80%,1.07,139,61,102,59.8,59.8,10.00%,13.10%,9.20%,1.50%,53.80%,63.9
Gorgui Dieng,MIN,82,185,22.30%,0.95,175,65,136,47.8,47.8,16.20%,13.50%,15.10%,3.20%,47.60%,35.2
Gordon Hayward,UTA,80,14,0.90%,1.93,27,8,11,72.7,90.9,28.60%,0.00%,28.60%,7.10%,78.60%,100
Giannis Antetokounmpo,MIL,80,35,2.50%,0.83,29,12,28,42.9,44.6,11.40%,11.40%,11.40%,2.90%,40.00%,16
Frank Kaminsky,CHA,80,133,20.50%,1,133,49,117,41.9,51.3,7.50%,6.00%,7.50%,1.50%,42.90%,50.7
Festus Ezeli,GSW,46,52,16.00%,1.06,55,22,38,57.9,57.9,23.10%,3.80%,21.20%,0.00%,57.70%,62.6
Ersan Ilyasova,ORL,22,32,17.20%,0.97,31,11,29,37.9,46.6,9.40%,3.10%,9.40%,3.10%,40.60%,43.1
Enes Kanter,OKC,82,190,20.20%,1.09,208,87,156,55.8,55.8,12.10%,8.90%,12.10%,3.20%,54.20%,70.3
Elton Brand,PHI,17,23,27.10%,0.57,13,6,21,28.6,28.6,4.30%,8.70%,4.30%,4.30%,26.10%,1.8
Ed Davis,POR,81,120,24.90%,1.04,125,47,82,57.3,57.3,28.30%,11.70%,28.30%,8.30%,55.00%,60.6
Dwight Powell,DAL,62,94,23.40%,0.94,88,39,81,48.1,48.1,9.60%,6.40%,8.50%,2.10%,48.90%,33.8
Dwight Howard,HOU,71,91,9.30%,1.1,100,46,73,63,63,17.60%,9.90%,15.40%,7.70%,56.00%,71.2
Drew Gooden,WAS,28,32,26.40%,0.47,15,6,25,24,26,3.10%,18.80%,3.10%,0.00%,21.90%,1.4
Draymond Green,GSW,81,154,12.60%,1.02,157,53,110,48.2,54.5,19.50%,13.60%,19.50%,5.20%,48.10%,55.7
Donatas Motiejunas,HOU,37,50,18.20%,0.88,44,17,36,47.2,48.6,14.00%,16.00%,10.00%,2.00%,44.00%,23.7
Dirk Nowitzki,DAL,75,244,18.60%,1.03,252,96,221,43.4,52,5.30%,4.90%,4.90%,0.80%,43.90%,56.4
Dewayne Dedmon,ORL,52,66,27.30%,1.38,91,37,52,71.2,71.2,19.70%,6.10%,18.20%,4.50%,71.20%,96.3
Derrick Favors,UTA,62,226,22.10%,1.11,250,101,184,54.9,54.9,16.40%,6.60%,14.20%,4.40%,55.30%,72.6
Derrick Williams,NYK,79,55,7.40%,1.02,56,21,44,47.7,52.3,14.50%,9.10%,14.50%,3.60%,47.30%,55.3
DeMarcus Cousins,SAC,65,278,14.80%,0.98,273,101,217,46.5,48.6,16.90%,8.30%,16.50%,3.20%,48.90%,45.2
DeAndre Jordan,LAC,77,181,20.30%,1.4,254,110,134,82.1,82.1,26.00%,6.10%,24.90%,6.10%,74.60%,97.3
David West,SAS,78,106,19.40%,0.9,95,43,94,45.7,45.7,6.60%,7.50%,6.60%,2.80%,44.30%,27.4
David Lee,DAL,24,41,21.70%,1.17,48,21,33,63.6,63.6,12.20%,12.20%,9.80%,4.90%,58.50%,84
