Team,GP,Poss,Freq,PPP,PTS,FGM,FGA,FG%,eFG%,FT Freq,TO Freq,SF Freq,And One Freq,Score Freq,Percentile
Atlanta Hawks,82,379,4.30%,0.93,352,138,303,45.5,51.8,7.40%,14.50%,6.90%,1.80%,41.40%,86.2
Boston Celtics,82,609,6.60%,0.86,525,190,484,39.3,44.4,9.40%,12.20%,7.90%,1.00%,39.60%,41.4
Brooklyn Nets,82,233,2.60%,0.81,188,79,194,40.7,44.1,6.00%,11.20%,5.20%,0.40%,39.50%,10.3
Charlotte Hornets,82,476,5.40%,0.93,443,158,393,40.2,46.7,10.30%,9.00%,9.70%,1.90%,41.40%,89.7
Chicago Bulls,82,456,5.10%,0.88,400,152,370,41.1,47.4,6.80%,13.80%,5.70%,1.80%,37.90%,58.6
Cleveland Cavaliers,82,276,3.20%,0.89,247,88,241,36.5,44.8,5.80%,7.20%,5.10%,0.40%,37.30%,72.4
Dallas Mavericks,82,304,3.50%,0.87,264,102,257,39.7,47.7,3.90%,11.50%,3.00%,0.00%,37.50%,48.3
Denver Nuggets,82,454,5.00%,0.89,406,146,362,40.3,49,7.50%,13.90%,5.90%,1.10%,38.50%,69
Detroit Pistons,82,271,3.00%,0.75,204,77,223,34.5,40.8,5.90%,13.30%,6.30%,1.80%,32.50%,3.4
Golden State Warriors,82,259,2.80%,1.07,276,98,208,47.1,57,9.30%,12.00%,6.90%,1.50%,45.60%,100
Houston Rockets,82,285,3.10%,0.87,249,89,220,40.5,48.6,7.70%,16.10%,7.00%,1.10%,37.50%,51.7
Indiana Pacers,82,402,4.50%,0.8,321,120,333,36,41.9,7.70%,10.90%,6.70%,1.50%,35.60%,6.9
Los Angeles Clippers,82,487,5.60%,0.85,414,159,406,39.2,44,7.40%,10.10%,6.40%,1.20%,38.80%,31
Los Angeles Lakers,82,399,4.50%,0.88,353,118,326,36.2,43.1,10.50%,9.80%,9.80%,2.00%,37.60%,65.5
Memphis Grizzlies,82,316,3.60%,0.86,272,99,257,38.5,43,9.80%,9.50%,8.90%,0.60%,40.50%,37.9
Miami Heat,82,352,4.10%,0.82,288,115,292,39.4,41.8,9.40%,9.70%,8.80%,2.00%,39.50%,13.8
Milwaukee Bucks,82,381,4.40%,0.9,342,129,317,40.7,47.6,6.80%,10.50%,5.50%,0.80%,39.40%,75.9
Minnesota Timberwolves,82,364,4.10%,0.95,346,130,308,42.2,48.4,8.20%,8.20%,6.90%,1.10%,42.90%,96.6
New Orleans Pelicans,82,327,3.70%,0.91,299,116,273,42.5,48.7,6.40%,10.40%,5.50%,0.30%,41.30%,82.8
New York Knicks,82,314,3.60%,0.85,268,113,279,40.5,44.4,4.50%,7.30%,3.80%,0.60%,39.50%,34.5
Oklahoma City Thunder,82,199,2.20%,0.84,167,61,151,40.4,45.7,8.50%,16.60%,6.50%,1.00%,38.20%,20.7
Orlando Magic,82,399,4.50%,0.86,345,141,330,42.7,46.8,5.50%,12.80%,3.80%,1.30%,39.60%,44.8
Philadelphia 76ers,82,473,5.30%,0.9,426,155,367,42.2,48.8,8.90%,14.60%,7.00%,1.10%,40.40%,79.3
Phoenix Suns,82,385,4.20%,0.71,272,101,318,31.8,37.6,5.70%,13.20%,4.20%,1.60%,30.40%,0
Portland Trail Blazers,82,488,5.40%,0.88,427,164,413,39.7,45.5,6.80%,9.80%,5.70%,1.40%,38.70%,55.2
Sacramento Kings,82,320,3.50%,0.88,283,105,269,39,44.8,8.80%,10.30%,8.10%,3.10%,38.10%,62.1
San Antonio Spurs,82,343,4.00%,0.85,291,113,288,39.2,42.9,7.60%,9.60%,7.00%,1.20%,39.40%,27.6
Toronto Raptors,82,264,3.10%,0.94,247,82,212,38.7,44.3,13.30%,8.30%,11.40%,1.90%,42.40%,93.1
Utah Jazz,82,658,7.70%,0.84,551,211,528,40,46.2,6.40%,14.10%,5.30%,0.90%,37.40%,17.2
Washington Wizards,82,254,2.80%,0.84,214,80,197,40.6,45.9,8.30%,15.40%,7.90%,1.20%,38.60%,24.1
