Team,GP,Poss,Freq,PPP,PTS,FGM,FGA,FG%,eFG%,FT Freq,TO Freq,SF Freq,And One Freq,Score Freq,Percentile
Atlanta Hawks,82,756,8.60%,1.03,778,315,661,47.7,53,7.90%,6.70%,7.00%,2.10%,47.00%,62.1
Boston Celtics,82,676,7.30%,0.96,646,261,569,45.9,49.3,10.70%,7.70%,9.50%,2.50%,45.40%,10.3
Brooklyn Nets,82,859,9.70%,0.97,833,365,737,49.5,49.9,10.40%,7.20%,10.20%,3.40%,48.30%,17.2
Charlotte Hornets,82,631,7.20%,1.1,692,265,538,49.3,54.7,11.90%,5.20%,11.30%,2.40%,51.20%,93.1
Chicago Bulls,82,582,6.50%,0.98,570,231,489,47.2,49.8,10.10%,6.90%,8.80%,1.00%,47.90%,27.6
Cleveland Cavaliers,82,551,6.30%,1.16,638,248,451,55,60,13.80%,6.20%,13.40%,1.80%,55.90%,96.6
Dallas Mavericks,82,652,7.50%,1.03,674,259,539,48.1,52.6,12.60%,6.90%,11.20%,2.10%,49.70%,69
Denver Nuggets,82,694,7.70%,1.04,725,290,573,50.6,52.3,14.60%,6.50%,13.80%,3.60%,51.60%,75.9
Detroit Pistons,82,544,6.00%,1.02,553,222,442,50.2,53.6,12.70%,7.20%,11.90%,1.80%,49.80%,48.3
Golden State Warriors,82,461,5.10%,0.99,458,171,364,47,51.6,13.90%,8.90%,13.40%,2.20%,47.50%,37.9
Houston Rockets,82,443,4.80%,1.03,455,190,351,54.1,56.8,14.70%,10.60%,13.10%,4.50%,50.60%,55.2
Indiana Pacers,82,602,6.70%,0.97,584,246,508,48.4,49.5,11.60%,6.50%,11.00%,2.50%,48.80%,20.7
Los Angeles Clippers,82,719,8.30%,1.05,753,319,602,53,55.8,12.40%,6.40%,11.50%,2.60%,51.90%,79.3
Los Angeles Lakers,82,465,5.20%,0.93,432,180,394,45.7,46.4,10.80%,6.90%,9.90%,2.40%,46.70%,0
Memphis Grizzlies,82,568,6.50%,1.01,572,238,477,49.9,50.9,10.00%,7.40%,8.80%,1.40%,50.20%,41.4
Miami Heat,82,652,7.60%,1.17,764,291,534,54.5,58.3,16.40%,5.80%,15.80%,4.30%,56.10%,100
Milwaukee Bucks,82,437,5.00%,1.02,445,193,363,53.2,53.7,10.30%,8.50%,10.10%,1.80%,51.00%,51.7
Minnesota Timberwolves,82,740,8.40%,0.97,721,287,603,47.6,49.8,11.80%,10.00%,11.10%,3.20%,46.80%,24.1
New Orleans Pelicans,82,762,8.60%,1.03,788,302,621,48.6,51.9,13.40%,7.20%,12.90%,2.10%,50.00%,72.4
New York Knicks,82,481,5.50%,0.96,464,187,396,47.2,50.6,9.40%,8.90%,8.90%,1.00%,46.60%,13.8
Oklahoma City Thunder,82,796,8.60%,1.03,819,351,661,53.1,54.2,9.40%,9.20%,8.90%,1.80%,51.10%,58.6
Orlando Magic,82,783,8.80%,1.01,791,338,684,49.4,52.3,7.30%,7.00%,7.20%,1.80%,48.30%,44.8
Philadelphia 76ers,82,588,6.60%,0.95,558,221,460,48,50.7,12.80%,11.40%,12.10%,2.40%,47.40%,6.9
Phoenix Suns,82,519,5.60%,1.03,536,210,440,47.7,53.2,10.60%,6.90%,10.20%,2.70%,48.00%,65.5
Portland Trail Blazers,82,601,6.70%,0.99,595,222,459,48.4,53.1,15.30%,11.80%,14.50%,3.70%,47.30%,34.5
Sacramento Kings,82,587,6.30%,0.98,576,229,487,47,49.1,12.90%,7.00%,12.60%,2.90%,48.00%,31
San Antonio Spurs,82,634,7.40%,0.95,601,256,539,47.5,48.5,9.80%,7.30%,9.50%,2.20%,47.30%,3.4
Toronto Raptors,82,464,5.40%,1.06,490,194,382,50.8,54.3,12.50%,7.50%,11.60%,2.60%,51.10%,82.8
Utah Jazz,82,570,6.60%,1.06,605,238,448,53.1,54.4,16.70%,7.90%,14.70%,3.20%,53.70%,86.2
Washington Wizards,82,606,6.80%,1.07,647,273,517,52.8,55.1,10.10%,6.80%,9.70%,2.10%,52.00%,89.7
