Team,Standing
Golden State Warriors,30
San Antonio Spurs,29
Cleveland Cavaliers,28
Toronto Raptors,27
Oklahoma City Thunder,26
Los Angeles Clippers,25
Atlanta Hawks,24
Boston Celtics,23
Miami Heat,22
Charlotte Hornets,21
Indiana Pacers,20
Detroit Pistons,19
Portland Trailblazers,18
Dallas Mavericks,17
Chicago Bulls,16
Memphis Grizzlies,15
Washington Wizards,14
Houston Rockets,13
Utah Jazz,12
Orlando Magic,11
Denver Nuggets,10
Sacramento Kings,9
Milwaukee Bucks,8
New York Knicks,7
New Orleans Pelicans,6
Minnesota Timberwolves,5
Phoenix Suns,4
Brooklyn Nets,3
Los Angeles Lakers,2
Philadelphia 76ers,1
,
,
