Player,Team,GP,Poss,Freq,PPP,PTS,FGM,FGA,FG%,eFG%,FT Freq,TO Freq,SF Freq,And One Freq,Score Freq,Percentile
Aaron Gordon,ORL,78,89,12.20%,1.29,115,48,74,64.9,64.9,19.10%,2.20%,18.00%,4.50%,67.40%,65.3
Adreian Payne,MIN,47,13,6.80%,1.08,14,7,12,58.3,58.3,0.00%,7.70%,0.00%,0.00%,53.80%,27.1
Al Jefferson,CHA,47,81,13.80%,1.16,94,39,72,54.2,54.2,17.30%,1.20%,17.30%,7.40%,58.00%,41.5
Al Horford,ATL,82,130,10.70%,1.18,154,71,117,60.7,60.7,7.70%,5.40%,6.90%,3.10%,58.50%,46.7
Al Farouq Aminu,POR,82,46,5.10%,1.41,65,28,39,71.8,71.8,17.40%,6.50%,17.40%,8.70%,69.60%,81.9
Alec Burks,UTA,31,16,3.60%,1,16,7,14,50,50,6.30%,6.30%,6.30%,0.00%,50.00%,13
Alex Len,PHX,77,172,19.70%,1.16,200,80,142,56.3,56.3,15.10%,5.20%,12.80%,2.90%,58.70%,42.4
Alexis Ajinca,NOP,57,68,17.10%,1.09,74,29,54,53.7,53.7,14.70%,8.80%,13.20%,2.90%,54.40%,29.1
Allen Crabbe,POR,81,34,4.30%,1.47,50,21,29,72.4,72.4,14.70%,5.90%,11.80%,5.90%,70.60%,88.7
Alonzo Gee,NOP,70,43,12.70%,1.21,52,23,33,69.7,69.7,9.30%,16.30%,9.30%,2.30%,60.50%,52.1
Amare Stoudemire,MIA,52,58,19.50%,1.21,70,29,47,61.7,61.7,15.50%,6.90%,15.50%,3.40%,62.10%,51.4
Amir Johnson,BOS,79,111,19.30%,1.39,154,69,97,71.1,71.1,10.80%,4.50%,9.90%,2.70%,69.40%,78.5
Anderson Varejao,CLE,31,24,23.50%,1.13,27,11,22,50,50,12.50%,0.00%,12.50%,4.20%,54.20%,33.9
Andre Roberson,OKC,70,60,18.00%,1.27,76,35,46,76.1,76.1,10.00%,15.00%,10.00%,3.30%,63.30%,61
Andre Drummond,DET,81,183,12.40%,1.14,208,88,145,60.7,60.7,23.00%,3.30%,21.30%,5.50%,60.70%,36.4
Andre Miller,MIN,24,11,12.20%,1.45,16,8,9,88.9,88.9,0.00%,18.20%,0.00%,0.00%,72.70%,87.2
Andre Iguodala,GSW,65,39,8.10%,1.13,44,20,30,66.7,66.7,17.90%,10.30%,12.80%,5.10%,56.40%,34.7
Andrea Bargnani,BKN,45,28,8.60%,1.32,37,18,27,66.7,66.7,3.60%,3.60%,3.60%,3.60%,64.30%,70.6
Andrew Nicholson,ORL,50,19,5.00%,1.16,22,9,17,52.9,52.9,21.10%,0.00%,21.10%,10.50%,52.60%,40.2
Andrew Bogut,GSW,70,140,36.60%,1.42,199,98,130,75.4,75.4,2.10%,5.70%,1.40%,0.70%,71.40%,82.8
Andrew Wiggins,MIN,81,95,5.50%,1.31,124,42,68,61.8,61.8,29.50%,4.20%,28.40%,5.30%,67.40%,68.4
Anthony Davis,NOP,61,107,7.50%,1.36,145,56,85,65.9,65.9,22.40%,2.80%,16.80%,4.70%,68.20%,74
Anthony Morrow,OKC,64,11,3.00%,1.18,13,5,9,55.6,55.6,18.20%,9.10%,18.20%,9.10%,54.50%,46
