Player,Team,GP,Poss,Freq,PPP,PTS,FGM,FGA,FG%,eFG%,FT,TO,SF,And One,Score,Percentile
,,,,,,,,,,,Freq,Freq,Freq,Freq,Freq,
Aaron Brooks,CHI,68,39,6.80%,0.92,36,15,30,50,58.3,2.60%,23.10%,2.60%,2.60%,38.50%,64.1
Aaron Gordon,ORL,78,18,2.50%,0.67,12,5,17,29.4,35.3,0.00%,5.60%,0.00%,0.00%,27.80%,15.5
Al Farouq Aminu,POR,82,54,6.00%,0.89,48,16,43,37.2,45.3,11.10%,11.10%,9.30%,1.90%,38.90%,57
Alec Burks,UTA,31,34,7.70%,0.88,30,10,24,41.7,45.8,17.60%,11.80%,14.70%,0.00%,47.10%,55.5
Allen Crabbe,POR,81,85,10.80%,0.76,65,27,72,37.5,38.2,7.10%,9.40%,7.10%,1.20%,37.60%,36
Andre Iguodala,GSW,65,11,2.30%,1.45,16,8,11,72.7,72.7,0.00%,0.00%,0.00%,0.00%,72.70%,99.2
Andrew Wiggins,MIN,81,116,6.70%,1,116,43,95,45.3,50.5,11.20%,8.60%,7.80%,1.70%,46.60%,77.5
Anthony Brown,LAL,27,11,7.40%,1.27,14,6,9,66.7,66.7,9.10%,9.10%,0.00%,0.00%,63.60%,96.6
Anthony Davis,NOP,61,14,1.00%,1.5,21,9,14,64.3,75,0.00%,0.00%,0.00%,0.00%,64.30%,100
Anthony Morrow,OKC,64,23,6.40%,0.74,17,6,19,31.6,36.8,8.70%,8.70%,8.70%,0.00%,34.80%,30.1
Archie Goodwin,PHX,55,31,5.10%,0.77,24,6,24,25,27.1,22.60%,6.50%,19.40%,6.50%,35.50%,37.3
Arron Afflalo,NYK,71,65,7.00%,0.75,49,22,57,38.6,41.2,4.60%,7.70%,4.60%,0.00%,36.90%,33.9
Austin Rivers,LAC,67,42,6.70%,0.74,31,12,36,33.3,38.9,7.10%,9.50%,4.80%,2.40%,33.30%,29.7
Avery Bradley,BOS,76,203,17.20%,0.83,168,65,167,38.9,44.6,5.40%,12.80%,4.40%,0.50%,36.90%,48.5
Ben McLemore,SAC,67,38,6.30%,1.05,40,15,31,48.4,56.5,10.50%,13.20%,7.90%,5.30%,44.70%,82.6
Beno Udrih,MIA,36,27,13.40%,0.63,17,7,23,30.4,30.4,7.40%,7.40%,7.40%,0.00%,33.30%,11.4
Bojan Bogdanovic,BKN,79,22,2.40%,0.82,18,7,17,41.2,47.1,4.50%,18.20%,4.50%,0.00%,36.40%,46.4
Bradley Beal,WAS,55,70,7.20%,0.84,59,24,55,43.6,50.9,4.30%,20.00%,4.30%,2.90%,35.70%,50.4
Brandon Jennings,DET,23,14,7.70%,0.86,12,4,10,40,50,7.10%,21.40%,7.10%,0.00%,35.70%,52.3
