Player,Team,GP,Poss,Freq,PPP,PTS,FGM,FGA,FG%,eFG%,FT Freq,TO Freq,SF Freq,And One Freq,Score Freq,Percentile
Al Horford,ATL,82,43,3.50%,0.88,38,13,41,31.7,43.9,2.30%,2.30%,2.30%,0.00%,32.60%,44.7
Al Farouq Aminu,POR,82,45,5.00%,0.87,39,16,40,40,48.8,0.00%,11.10%,0.00%,0.00%,35.60%,41.8
Alex Len,PHX,77,16,1.80%,0.75,12,6,14,42.9,42.9,0.00%,12.50%,0.00%,0.00%,37.50%,22.7
Alexis Ajinca,NOP,57,18,4.50%,1,18,9,18,50,50,0.00%,0.00%,0.00%,0.00%,50.00%,64.3
Allen Crabbe,POR,81,128,16.30%,0.93,119,43,108,39.8,44.4,7.80%,8.60%,7.00%,0.80%,40.60%,52
Amare Stoudemire,MIA,52,11,3.70%,0.73,8,4,11,36.4,36.4,0.00%,0.00%,0.00%,0.00%,36.40%,18.5
Andre Iguodala,GSW,65,26,5.40%,1.04,27,10,24,41.7,54.2,3.80%,7.70%,3.80%,3.80%,38.50%,71
Andrea Bargnani,BKN,45,16,4.90%,0.88,14,4,13,30.8,30.8,18.80%,0.00%,18.80%,0.00%,43.80%,43.4
Andrew Nicholson,ORL,50,10,2.60%,1.5,15,6,9,66.7,83.3,0.00%,10.00%,0.00%,0.00%,60.00%,99.2
Andrew Wiggins,MIN,81,251,14.50%,0.82,207,85,201,42.3,42.8,12.70%,10.80%,12.40%,3.60%,42.20%,34.6
Anthony Morrow,OKC,64,42,11.60%,1.07,45,18,41,43.9,54.9,0.00%,2.40%,0.00%,0.00%,42.90%,79.6
Anthony Tolliver,DET,71,31,8.20%,0.84,26,9,27,33.3,42.6,12.90%,3.20%,12.90%,3.20%,35.50%,37
Anthony Brown,LAL,27,14,9.40%,0.57,8,3,12,25,33.3,0.00%,7.10%,7.10%,0.00%,21.40%,8.1
Anthony Davis,NOP,61,93,6.50%,1.05,98,40,79,50.6,52.5,11.80%,5.40%,10.80%,2.20%,51.60%,76
Archie Goodwin,PHX,55,11,1.80%,0.64,7,2,6,33.3,33.3,27.30%,18.20%,18.20%,0.00%,45.50%,12.6
Arron Afflalo,NYK,71,139,14.90%,0.95,132,52,126,41.3,46,6.50%,4.30%,6.50%,1.40%,42.40%,54.9
Austin Rivers,LAC,67,16,2.50%,1.44,23,9,14,64.3,78.6,6.30%,6.30%,6.30%,0.00%,62.50%,98
Avery Bradley,BOS,76,173,14.60%,0.91,157,64,161,39.8,46.6,2.30%,4.60%,2.30%,0.00%,39.30%,48
Ben McLemore,SAC,67,80,13.40%,0.84,67,27,69,39.1,44.2,7.50%,7.50%,7.50%,1.30%,38.80%,35.8
Blake Griffin,LAC,35,21,2.70%,0.86,18,8,18,44.4,47.2,4.80%,9.50%,4.80%,0.00%,42.90%,40.7
Bojan Bogdanovic,BKN,79,90,9.80%,0.82,74,27,69,39.1,44.2,10.00%,13.30%,8.90%,0.00%,38.90%,34.1
Bradley Beal,WAS,55,148,15.20%,0.91,134,53,129,41.1,48.4,6.10%,8.10%,5.40%,1.40%,40.50%,47.6
Brandon Rush,GSW,69,24,7.70%,1.08,26,10,22,45.5,59.1,0.00%,8.30%,0.00%,0.00%,41.70%,81.3
Brandon Knight,PHX,52,58,5.10%,0.81,47,17,52,32.7,43.3,1.70%,8.60%,1.70%,0.00%,31.00%,31.3
Brook Lopez,BKN,73,19,1.30%,0.74,14,4,12,33.3,33.3,15.80%,15.80%,15.80%,0.00%,36.80%,20.7
CJ Miles,IND,64,142,18.70%,1.01,144,49,125,39.2,51.6,7.70%,6.30%,7.00%,2.10%,40.10%,67.5
CJ McCollum,POR,80,137,8.00%,0.93,128,50,125,40,49.2,2.20%,7.30%,1.50%,0.70%,38.00%,52.4
Carmelo Anthony,NYK,72,66,4.00%,1.08,71,32,63,50.8,54.8,1.50%,3.00%,1.50%,0.00%,50.00%,80.5
Chandler Parsons,DAL,61,73,9.10%,0.82,60,27,66,40.9,44.7,1.40%,8.20%,1.40%,0.00%,38.40%,33.7
Channing Frye,ORL,44,22,9.90%,0.55,12,4,20,20,30,0.00%,9.10%,0.00%,0.00%,18.20%,6.1
Charlie Villanueva,DAL,57,56,15.20%,0.68,38,15,51,29.4,36.3,1.80%,7.10%,1.80%,0.00%,28.60%,15
Chase Budinger,IND,47,39,16.00%,0.69,27,11,32,34.4,40.6,2.60%,15.40%,2.60%,0.00%,30.80%,16.3
Chris Bosh,MIA,53,72,7.50%,1.18,85,31,57,54.4,56.1,18.10%,6.90%,18.10%,4.20%,56.90%,91.4
Chris Paul,LAC,74,13,0.90%,0.54,7,3,10,30,35,0.00%,23.10%,0.00%,0.00%,23.10%,5.7
Cody Zeller,CHA,73,23,3.80%,0.96,22,9,20,45,45,13.00%,4.30%,13.00%,4.30%,47.80%,55.7
Corey Brewer,HOU,82,45,6.50%,0.44,20,8,34,23.5,26.5,2.20%,22.20%,2.20%,0.00%,20.00%,3.3
Cory Joseph,TOR,80,15,2.00%,1,15,6,12,50,58.3,6.70%,20.00%,6.70%,6.70%,40.00%,64.3
Courtney Lee,CHA,28,15,5.90%,0.87,13,6,13,46.2,46.2,6.70%,13.30%,6.70%,6.70%,40.00%,41.8
DAngelo Russell,LAL,80,36,2.90%,0.81,29,12,34,35.3,41.2,2.80%,2.80%,2.80%,0.00%,36.10%,29.7
Damian Lillard,POR,75,106,5.60%,1,106,37,94,39.4,50,6.60%,5.70%,4.70%,0.90%,40.60%,64.3
Danilo Gallinari,DEN,53,46,4.70%,1.15,53,11,33,33.3,42.4,28.30%,2.20%,21.70%,2.20%,50.00%,88.2
Danny Green,SAS,79,69,10.50%,0.8,55,22,66,33.3,41.7,0.00%,4.30%,0.00%,0.00%,31.90%,27.6
Dante Cunningham,NOP,78,11,2.20%,1.45,16,7,11,63.6,72.7,0.00%,0.00%,0.00%,0.00%,63.60%,98.4
Darrell Arthur,DEN,70,15,2.60%,1.6,24,9,14,64.3,85.7,0.00%,6.70%,0.00%,0.00%,60.00%,99.6
David West,SAS,78,11,2.00%,1.73,19,9,11,81.8,81.8,9.10%,0.00%,9.10%,9.10%,81.80%,100
DeMar DeRozan,TOR,78,249,13.60%,0.84,209,83,208,39.9,40.6,9.20%,8.00%,9.20%,0.80%,41.80%,37.4
DeMarcus Cousins,SAC,65,47,2.50%,0.74,35,14,38,36.8,36.8,12.80%,10.60%,12.80%,4.30%,38.30%,22
DeMarre Carroll,TOR,26,26,8.00%,0.46,12,4,21,19,26.2,3.80%,11.50%,7.70%,0.00%,19.20%,4.1
Dennis Schroder,ATL,80,47,4.50%,1.09,51,21,44,47.7,55.7,2.10%,4.30%,2.10%,0.00%,46.80%,82
Deron Williams,DAL,65,117,11.50%,1.01,118,46,109,42.2,52.8,1.70%,6.00%,1.70%,0.90%,40.20%,66.3
Derrick Williams,NYK,79,37,5.00%,0.92,34,13,33,39.4,39.4,13.50%,2.70%,13.50%,5.40%,43.20%,49.6
Derrick Rose,CHI,66,17,1.30%,0.88,15,6,15,40,43.3,11.80%,0.00%,5.90%,0.00%,47.10%,44.3
Devin Booker,PHX,75,151,13.30%,0.95,144,54,135,40,46.3,6.60%,4.00%,5.30%,0.00%,42.40%,55.3
