Player,Team,GP,Poss,Freq,PPP,PTS,FGM,FGA,FG%,eFG%,FT Freq,TO Freq,SF Freq,And One Freq,Score Freq,Percentile
Aaron Gordon,ORL,78,31,4.30%,0.71,22,8,22,36.4,36.4,16.10%,16.10%,12.90%,3.20%,38.70%,24.7
Adreian Payne,MIN,47,32,16.70%,0.69,22,6,19,31.6,31.6,25.00%,15.60%,12.50%,0.00%,40.60%,22.5
Al Jefferson,CHA,47,304,51.80%,0.88,268,116,260,44.6,44.6,10.20%,6.60%,10.20%,2.30%,45.40%,63.7
Al Horford,ATL,82,169,13.90%,0.89,150,63,134,47,47,8.30%,14.20%,7.10%,1.80%,43.80%,65.3
Al Farouq Aminu,POR,82,19,2.10%,0.42,8,4,11,36.4,36.4,0.00%,42.10%,0.00%,0.00%,21.10%,4.9
Alex Len,PHX,77,258,29.60%,0.69,177,58,165,35.2,35.2,17.10%,20.20%,14.70%,1.90%,36.40%,22
Alexis Ajinca,NOP,57,38,9.60%,0.68,26,12,32,37.5,37.5,2.60%,13.20%,2.60%,0.00%,34.20%,21.2
Amare Stoudemire,MIA,52,57,19.20%,0.79,45,18,38,47.4,47.4,12.30%,22.80%,10.50%,1.80%,40.40%,39.9
Amir Johnson,BOS,79,63,10.90%,0.86,54,24,52,46.2,46.2,9.50%,9.50%,7.90%,1.60%,46.00%,57.7
Anderson Varejao,CLE,31,10,9.80%,0.1,1,0,6,0,0,10.00%,30.00%,10.00%,0.00%,10.00%,0
Andre Iguodala,GSW,65,14,2.90%,0.57,8,4,10,40,40,0.00%,28.60%,0.00%,0.00%,28.60%,10.4
Andre Drummond,DET,81,405,27.50%,0.73,294,133,336,39.6,39.6,9.60%,8.40%,8.60%,1.20%,38.00%,26.9
Andrea Bargnani,BKN,45,14,4.30%,1,14,3,9,33.3,33.3,35.70%,7.10%,21.40%,7.10%,50.00%,87.5
Andrew Nicholson,ORL,50,123,32.30%,0.94,116,51,103,49.5,49.5,7.30%,10.60%,4.90%,1.60%,47.20%,78.9
Andrew Bogut,GSW,70,25,6.50%,0.56,14,7,20,35,35,0.00%,20.00%,0.00%,0.00%,28.00%,9.9
Andrew Wiggins,MIN,81,208,12.00%,1,208,70,145,48.3,48.3,23.60%,10.10%,19.20%,3.40%,51.90%,87.5
Anthony Davis,NOP,61,262,18.40%,0.78,205,69,192,35.9,35.9,16.00%,11.80%,11.10%,1.10%,40.80%,36.3
Aron Baynes,DET,81,93,17.60%,0.91,85,32,71,45.1,45.1,16.10%,10.80%,15.10%,3.20%,46.20%,72.2
Arron Afflalo,NYK,71,158,16.90%,1.03,162,69,130,53.1,53.1,12.00%,11.40%,10.80%,5.70%,50.00%,90.1
Bismack Biyombo,TOR,81,17,3.60%,0.71,12,6,14,42.9,42.9,0.00%,17.60%,0.00%,0.00%,35.30%,23.9
Blake Griffin,LAC,35,165,21.30%,0.84,139,54,127,42.5,42.5,15.20%,10.30%,12.10%,2.40%,45.50%,51.6
Boban Marjanovic,SAS,45,103,40.60%,1.01,104,36,72,50,50,21.40%,9.70%,18.40%,1.90%,54.40%,88.8
Bobby Portis,CHI,62,85,16.50%,0.78,66,24,60,40,40,12.90%,18.80%,8.20%,2.40%,38.80%,34.5
Bojan Bogdanovic,BKN,79,66,7.20%,0.71,47,17,48,35.4,35.4,13.60%,16.70%,10.60%,3.00%,34.80%,25.1
Boris Diaw,SAS,76,196,38.50%,1.05,205,91,145,62.8,62.8,10.20%,18.90%,8.70%,3.10%,52.00%,91.9
Brandon Bass,LAL,66,49,11.40%,1.08,53,14,32,43.8,43.8,28.60%,10.20%,28.60%,4.10%,53.10%,94.6
Brook Lopez,BKN,73,448,29.80%,0.95,426,164,324,50.6,50.6,16.30%,16.10%,14.10%,4.70%,47.50%,79.4
Carl Landry,PHI,36,64,20.40%,1.08,69,23,41,56.1,56.1,29.70%,12.50%,23.40%,6.30%,57.80%,93.7
Carmelo Anthony,NYK,72,369,22.20%,0.92,340,119,277,43,43,18.70%,9.50%,15.40%,3.30%,47.70%,74.4
Chandler Parsons,DAL,61,25,3.10%,0.84,21,10,19,52.6,52.6,4.00%,20.00%,0.00%,0.00%,44.00%,50.7
Channing Frye,ORL,44,12,5.40%,0.83,10,4,7,57.1,57.1,8.30%,33.30%,8.30%,0.00%,41.70%,49.1
Charlie Villanueva,DAL,57,23,6.20%,0.78,18,8,20,40,40,4.30%,8.70%,4.30%,0.00%,39.10%,36.8
Chris Bosh,MIA,53,83,8.60%,0.84,70,25,61,41,41,13.30%,13.30%,12.00%,0.00%,43.40%,52
Chris Paul,LAC,74,20,1.40%,1.2,24,9,17,52.9,52.9,15.00%,0.00%,15.00%,0.00%,60.00%,98.6
Clint Capela,HOU,76,24,4.40%,0.58,14,6,16,37.5,37.5,12.50%,20.80%,4.20%,0.00%,33.30%,12.1
Cody Zeller,CHA,73,16,2.60%,0.94,15,6,15,40,40,12.50%,0.00%,12.50%,6.30%,43.80%,78
Cole Aldrich,LAC,58,21,6.40%,0.57,12,4,14,28.6,28.6,14.30%,19.00%,14.30%,0.00%,33.30%,10.4
DAngelo Russell,LAL,80,76,6.10%,0.93,71,22,52,42.3,42.3,27.60%,9.20%,26.30%,5.30%,48.70%,76.7
Danilo Gallinari,DEN,53,82,8.50%,1.11,91,28,57,49.1,49.1,28.00%,7.30%,23.20%,4.90%,54.90%,96
Darrell Arthur,DEN,70,46,8.00%,0.96,44,20,41,48.8,48.8,10.90%,4.30%,8.70%,4.30%,47.80%,81.6
David Lee,DAL,24,21,11.10%,0.95,20,8,17,47.1,47.1,9.50%,9.50%,9.50%,0.00%,47.60%,79.8
David West,SAS,78,115,21.00%,1.08,124,51,93,54.8,54.8,14.80%,8.70%,13.00%,4.30%,53.90%,94.2
DeAndre Jordan,LAC,77,64,7.20%,0.78,50,20,43,46.5,46.5,23.40%,12.50%,21.90%,3.10%,43.80%,35.9
DeMar DeRozan,TOR,78,155,8.50%,0.85,132,43,114,37.7,37.7,21.30%,10.30%,19.40%,5.20%,43.90%,55.2
DeMarcus Cousins,SAC,65,363,19.40%,0.96,348,116,235,49.4,49.4,24.80%,14.60%,18.70%,4.40%,50.40%,82.1
Deron Williams,DAL,65,87,8.60%,0.86,75,27,63,42.9,42.9,16.10%,13.80%,13.80%,2.30%,44.80%,59.2
Derrick Favors,UTA,62,231,22.60%,0.86,198,82,185,44.3,44.3,12.10%,10.40%,10.00%,2.60%,44.60%,57.7
Derrick Williams,NYK,79,71,9.60%,0.93,66,21,54,38.9,38.9,23.90%,5.60%,23.90%,5.60%,47.90%,76.2
Devin Booker,PHX,75,37,3.30%,1.11,41,14,28,50,50,21.60%,2.70%,13.50%,0.00%,59.50%,95.5
Dewayne Dedmon,ORL,52,15,6.20%,1.07,16,8,14,57.1,57.1,0.00%,6.70%,0.00%,0.00%,53.30%,92.8
Dirk Nowitzki,DAL,75,389,29.60%,1.02,397,145,312,46.5,46.5,16.20%,6.90%,13.90%,3.30%,50.10%,89.7
Donatas Motiejunas,HOU,37,60,21.90%,0.87,52,23,49,46.9,46.9,10.00%,8.30%,10.00%,0.00%,45.00%,60.6
Doug McDermott,CHI,81,21,2.90%,0.9,19,8,19,42.1,42.1,9.50%,0.00%,4.80%,0.00%,47.60%,70
Draymond Green,GSW,81,106,8.70%,0.67,71,20,59,33.9,33.9,24.50%,23.60%,20.80%,3.80%,37.70%,19.7
Dwight Howard,HOU,71,297,30.50%,0.82,244,97,204,47.5,47.5,19.90%,16.50%,16.80%,5.40%,43.80%,45.3
Dwyane Wade,MIA,74,165,10.50%,0.85,141,55,134,41,41,13.30%,7.90%,11.50%,2.40%,43.60%,56.5
ETwaun Moore,CHI,59,11,2.40%,0.73,8,4,9,44.4,44.4,0.00%,18.20%,0.00%,0.00%,36.40%,28.1
Ed Davis,POR,81,21,4.40%,1,21,10,18,55.6,55.6,4.80%,14.30%,4.80%,4.80%,47.60%,87.5
Emmanuel Mudiay,DEN,68,34,2.80%,0.44,15,7,28,25,25,5.90%,11.80%,5.90%,0.00%,23.50%,5.8
Enes Kanter,OKC,82,178,19.00%,0.89,158,62,128,48.4,48.4,15.20%,16.30%,13.50%,3.40%,44.90%,65.9
Eric Bledsoe,PHX,32,11,1.60%,0.55,6,3,9,33.3,33.3,9.10%,9.10%,9.10%,0.00%,27.30%,9.4
Ersan Ilyasova,ORL,22,13,7.00%,0.38,5,1,8,12.5,12.5,15.40%,23.10%,15.40%,0.00%,23.10%,2.7
Evan Turner,BOS,81,105,10.50%,0.99,104,42,86,48.8,48.8,11.40%,8.60%,10.50%,1.90%,49.50%,83.9
Festus Ezeli,GSW,46,69,21.30%,0.7,48,19,51,37.3,37.3,17.40%,11.60%,15.90%,4.30%,39.10%,23.3
Frank Kaminsky,CHA,80,70,10.80%,0.79,55,17,50,34,34,22.90%,11.40%,20.00%,5.70%,41.40%,38.2
George Hill,IND,74,11,1.20%,0.73,8,3,8,37.5,37.5,18.20%,18.20%,18.20%,9.10%,36.40%,28.1
Gerald Henderson,POR,72,52,7.80%,0.85,44,13,35,37.1,37.1,19.20%,13.50%,15.40%,0.00%,44.20%,53.8
Gerald Green,MIA,69,19,2.80%,1.74,33,15,18,83.3,83.3,10.50%,0.00%,10.50%,5.30%,84.20%,100
Giannis Antetokounmpo,MIL,80,114,8.10%,0.8,91,38,78,48.7,48.7,10.50%,23.70%,9.60%,2.60%,40.40%,41.3
Gordon Hayward,UTA,80,33,2.10%,0.88,29,10,26,38.5,38.5,24.20%,3.00%,18.20%,6.10%,45.50%,63.2
Gorgui Dieng,MIN,82,130,15.70%,0.9,117,40,90,44.4,44.4,16.90%,15.40%,12.30%,1.50%,46.20%,69.5
