Player,Team,GP,Poss,Freq,PPP,PTS,FGM,FGA,FG%,eFG%,FT,TO,SF,And One,Score,Percentile
,,,,,,,,,,,Freq,Freq,Freq,Freq,Freq,
Aaron Gordon,ORL,78,180,24.70%,0.85,153,54,160,33.8,41.9,7.80%,5.60%,7.20%,2.20%,35.60%,32.6
Aaron Brooks,CHI,68,71,12.30%,1.11,79,25,68,36.8,52.9,4.20%,0.00%,4.20%,0.00%,39.40%,85.5
Adreian Payne,MIN,47,54,28.10%,0.74,40,17,50,34,40,0.00%,7.40%,0.00%,0.00%,31.50%,16.8
Al Horford,ATL,82,281,23.10%,0.93,261,105,269,39,47.8,1.80%,3.20%,1.80%,0.70%,38.40%,47.3
Al Jefferson,CHA,47,28,4.80%,1,28,14,28,50,50,0.00%,0.00%,0.00%,0.00%,50.00%,64.3
Al Farouq Aminu,POR,82,336,37.40%,1.03,345,118,302,39.1,53.6,4.50%,6.50%,4.20%,0.90%,38.40%,70.4
Alan Anderson,WAS,12,24,36.40%,1.33,32,10,22,45.5,61.4,16.70%,0.00%,16.70%,8.30%,50.00%,98.1
Alec Burks,UTA,31,95,21.40%,1.09,104,32,76,42.1,52.6,16.80%,5.30%,14.70%,2.10%,48.40%,82.8
Alex Len,PHX,77,79,9.00%,0.67,53,22,70,31.4,32.1,6.30%,5.10%,6.30%,0.00%,34.20%,10.7
Alexis Ajinca,NOP,57,60,15.10%,0.75,45,22,56,39.3,39.3,1.70%,5.00%,0.00%,0.00%,38.30%,17.6
Allen Crabbe,POR,81,255,32.50%,1.19,304,108,232,46.6,61.4,4.70%,5.50%,3.90%,1.20%,45.90%,93.7
Alonzo Gee,NOP,70,111,32.80%,0.81,90,35,94,37.2,43.6,5.40%,9.90%,4.50%,0.00%,36.00%,25.4
Amare Stoudemire,MIA,52,11,3.70%,0.91,10,5,11,45.5,45.5,0.00%,0.00%,0.00%,0.00%,45.50%,42.4
Amir Johnson,BOS,79,54,9.40%,0.63,34,11,45,24.4,31.1,7.40%,9.30%,5.60%,0.00%,27.80%,7.2
Anderson Varejao,CLE,31,22,21.60%,0.73,16,7,19,36.8,36.8,4.50%,9.10%,4.50%,0.00%,36.40%,14.7
Andre Drummond,DET,81,22,1.50%,0.64,14,4,14,28.6,28.6,31.80%,9.10%,31.80%,4.50%,40.90%,7.5
Andre Iguodala,GSW,65,129,26.70%,1.02,132,45,119,37.8,53.8,3.10%,5.40%,2.30%,0.80%,37.20%,69.9
Andre Roberson,OKC,70,113,33.80%,0.83,94,32,104,30.8,44.2,2.70%,5.30%,2.70%,0.00%,30.10%,29.4
Andre Miller,SAS,11,10,15.20%,0.5,5,2,9,22.2,27.8,0.00%,10.00%,0.00%,0.00%,20.00%,2.1
Andrea Bargnani,BKN,45,94,28.70%,0.89,84,34,81,42,42.6,11.70%,6.40%,9.60%,4.30%,43.60%,39.6
Andrew Nicholson,ORL,50,85,22.30%,1.11,94,33,78,42.3,56.4,5.90%,4.70%,4.70%,2.40%,42.40%,83.9
Andrew Wiggins,MIN,81,171,9.90%,0.95,163,58,146,39.7,49.7,9.40%,7.60%,8.20%,2.30%,39.20%,52.4
Anthony Morrow,OKC,64,167,46.10%,1.05,175,63,163,38.7,52.1,1.80%,1.80%,1.80%,1.20%,38.30%,73.7
Anthony Brown,LAL,27,63,42.30%,0.86,54,18,60,30,41.7,4.80%,1.60%,4.80%,1.60%,31.70%,33.7
Anthony Tolliver,DET,71,209,55.10%,1.05,220,73,197,37.1,53.8,1.40%,4.30%,1.40%,0.00%,36.40%,75.3
Anthony Davis,NOP,61,186,13.00%,0.95,177,73,169,43.2,47.3,8.60%,4.30%,9.10%,4.30%,43.50%,52
Archie Goodwin,PHX,55,121,20.10%,0.88,107,35,98,35.7,42.3,14.00%,5.00%,12.40%,0.00%,41.30%,37.1
Aron Baynes,DET,81,24,4.50%,0.54,13,6,22,27.3,27.3,4.20%,4.20%,4.20%,0.00%,29.20%,3
Arron Afflalo,NYK,71,218,23.40%,1.03,224,82,200,41,53.5,2.80%,6.00%,2.80%,0.50%,39.90%,71.1
Austin Rivers,LAC,67,123,19.50%,1.02,125,44,115,38.3,54.3,1.60%,5.70%,1.60%,0.80%,35.80%,67.8
Avery Bradley,BOS,76,240,20.30%,1.07,256,91,228,39.9,54.4,2.10%,3.30%,2.10%,0.40%,39.60%,77.8
Axel Toupane,DEN,20,48,58.50%,0.85,41,14,46,30.4,43.5,4.20%,0.00%,4.20%,0.00%,31.30%,33.1
Ben McLemore,SAC,67,166,27.70%,0.84,140,43,131,32.8,45.8,7.80%,15.10%,7.20%,1.80%,31.90%,30.6
Beno Udrih,MEM,8,12,21.10%,1.33,16,6,11,54.5,72.7,0.00%,8.30%,0.00%,0.00%,50.00%,98.1
Blake Griffin,LAC,35,103,13.30%,0.77,79,39,101,38.6,39.1,0.00%,1.90%,0.00%,0.00%,37.90%,19.3
Bobby Portis,CHI,62,100,19.40%,0.76,76,33,98,33.7,37.8,1.00%,1.00%,1.00%,0.00%,34.00%,18.4
