Player,Team,GP,Poss,Freq,PPP,PTS,FGM,FGA,FG%,eFG%,FT Freq,TO Freq,SF Freq,And One Freq,Score Freq,Percentile
Aaron Gordon,ORL,78,127,17.40%,1.08,137,48,86,55.8,58.1,24.40%,12.60%,21.30%,4.70%,54.30%,43.9
Aaron Brooks,CHI,68,60,10.40%,0.95,57,20,51,39.2,52,3.30%,11.70%,3.30%,0.00%,36.70%,20.3
Adreian Payne,MIN,47,16,8.30%,0.69,11,4,10,40,40,12.50%,25.00%,12.50%,0.00%,37.50%,3.6
Al Horford,ATL,82,122,10.00%,1.25,152,65,105,61.9,67.6,5.70%,9.00%,4.90%,0.80%,58.20%,80
Al Jefferson,CHA,47,11,1.90%,1.36,15,7,10,70,70,9.10%,0.00%,9.10%,0.00%,72.70%,92.8
Al Farouq Aminu,POR,82,161,17.90%,0.89,144,52,111,46.8,51.4,16.10%,18.00%,13.70%,3.70%,43.50%,13.8
Alan Anderson,WAS,12,12,18.20%,1,12,4,11,36.4,45.5,8.30%,0.00%,8.30%,0.00%,41.70%,26.7
Alec Burks,UTA,31,69,15.50%,1.09,75,25,48,52.1,57.3,21.70%,14.50%,11.60%,5.80%,52.20%,46.8
Alex Len,PHX,77,39,4.50%,0.9,35,14,27,51.9,51.9,12.80%,17.90%,12.80%,0.00%,46.20%,14.4
Alexis Ajinca,NOP,57,17,4.30%,1,17,7,15,46.7,46.7,11.80%,0.00%,11.80%,0.00%,52.90%,26.7
Allen Crabbe,POR,81,140,17.90%,1.19,167,66,127,52,61,6.40%,5.00%,6.40%,2.10%,50.70%,69.9
Alonzo Gee,NOP,70,105,31.10%,1.19,125,52,80,65,67.5,15.20%,13.30%,13.30%,4.80%,58.10%,69.2
Amare Stoudemire,MIA,52,12,4.00%,0.83,10,4,9,44.4,44.4,8.30%,16.70%,8.30%,0.00%,41.70%,10.3
Amir Johnson,BOS,79,62,10.80%,1.32,82,33,42,78.6,78.6,19.40%,12.90%,17.70%,0.00%,67.70%,87.6
Andre Iguodala,GSW,65,115,23.80%,1.13,130,54,82,65.9,67.7,13.90%,17.40%,11.30%,2.60%,56.50%,54.2
Andre Roberson,OKC,70,89,26.60%,1.16,103,43,74,58.1,60.1,13.50%,5.60%,12.40%,2.20%,58.40%,61.1
Andre Drummond,DET,81,89,6.00%,1,89,40,62,64.5,64.5,23.60%,13.50%,21.30%,6.70%,52.80%,26.7
Andrea Bargnani,BKN,45,12,3.70%,1.33,16,8,11,72.7,72.7,0.00%,8.30%,0.00%,0.00%,66.70%,89.2
Andrew Nicholson,ORL,50,28,7.30%,1.18,33,13,27,48.1,59.3,3.60%,3.60%,3.60%,3.60%,46.40%,66.6
Andrew Bogut,GSW,70,19,5.00%,1.32,25,12,12,100,100,21.10%,21.10%,15.80%,5.30%,68.40%,86.3
Andrew Wiggins,MIN,81,203,11.70%,1.18,239,91,144,63.2,64.2,19.20%,13.30%,17.70%,3.40%,59.60%,66.3
Anthony Tolliver,DET,71,54,14.20%,0.98,53,18,51,35.3,49,3.70%,1.90%,3.70%,0.00%,37.00%,24.3
Anthony Davis,NOP,61,115,8.10%,1.36,156,56,81,69.1,70.4,22.60%,9.60%,15.70%,2.60%,68.70%,91.9
Anthony Brown,LAL,27,28,18.80%,0.71,20,7,21,33.3,40.5,7.10%,17.90%,3.60%,0.00%,32.10%,4.3
Anthony Morrow,OKC,64,58,16.00%,1,58,19,51,37.3,52.9,8.60%,3.40%,5.20%,0.00%,37.90%,26.7
Archie Goodwin,PHX,55,128,21.30%,1.09,139,54,88,61.4,61.9,18.80%,14.80%,15.60%,2.30%,56.30%,46.1
Aron Baynes,DET,81,28,5.30%,1.29,36,15,21,71.4,71.4,17.90%,14.30%,17.90%,7.10%,64.30%,81.9
Arron Afflalo,NYK,71,123,13.20%,1.03,127,43,100,43,51.5,12.20%,8.10%,10.60%,2.40%,44.70%,33
Austin Rivers,LAC,67,91,14.40%,1.13,103,38,70,54.3,60,16.50%,8.80%,14.30%,2.20%,56.00%,54.7
