Team,GP,Poss,Freq,PPP,PTS,FGM,FGA,FG%,eFG%,FT Freq,TO Freq,SF Freq,And One Freq,Score Freq,Percentile
Atlanta Hawks,82,503,5.70%,0.97,488,184,369,49.9,49.9,15.90%,13.30%,13.70%,3.00%,48.70%,93.1
Boston Celtics,82,548,5.90%,0.87,476,188,427,44,44,13.10%,11.10%,10.80%,2.20%,44.50%,62.1
Brooklyn Nets,82,880,10.00%,0.89,782,311,658,47.3,47.3,13.40%,14.80%,11.30%,3.00%,44.70%,75.9
Charlotte Hornets,82,558,6.40%,0.85,475,193,449,43,43,12.90%,9.30%,11.30%,2.90%,43.50%,55.2
Chicago Bulls,82,740,8.20%,0.81,599,237,566,41.9,41.9,13.40%,13.40%,10.00%,3.20%,41.10%,20.7
Cleveland Cavaliers,82,701,8.10%,0.89,621,243,537,45.3,45.3,14.00%,12.60%,11.10%,3.10%,44.90%,72.4
Dallas Mavericks,82,700,8.00%,0.94,659,247,547,45.2,45.2,14.30%,10.00%,12.30%,2.40%,47.00%,89.7
Denver Nuggets,82,612,6.80%,0.87,535,209,471,44.4,44.4,14.40%,11.90%,11.30%,3.30%,44.00%,65.5
Detroit Pistons,82,766,8.50%,0.82,631,263,616,42.7,42.7,12.70%,8.70%,11.00%,2.00%,43.10%,27.6
Golden State Warriors,82,554,6.10%,0.8,444,178,424,42,42,13.40%,13.00%,11.40%,3.10%,41.50%,13.8
Houston Rockets,82,582,6.40%,0.83,483,192,425,45.2,45.2,16.80%,14.40%,14.40%,4.50%,42.80%,31
Indiana Pacers,82,530,5.90%,0.78,411,172,413,41.6,41.6,10.40%,13.60%,8.70%,1.90%,40.00%,6.9
Los Angeles Clippers,82,384,4.40%,0.82,313,119,284,41.9,41.9,16.40%,11.50%,14.30%,1.80%,44.30%,24.1
Los Angeles Lakers,82,717,8.10%,0.77,549,200,548,36.5,36.5,15.20%,10.90%,13.70%,2.60%,39.50%,3.4
Memphis Grizzlies,82,1058,12.10%,0.83,883,331,807,41,41,14.30%,11.70%,11.00%,2.40%,42.70%,41.4
Miami Heat,82,661,7.70%,0.83,549,227,518,43.8,43.8,10.70%,13.20%,9.80%,2.40%,42.10%,37.9
Milwaukee Bucks,82,883,10.10%,0.84,738,300,673,44.6,44.6,12.00%,14.20%,9.90%,2.40%,42.80%,44.8
Minnesota Timberwolves,82,839,9.50%,0.91,762,277,626,44.2,44.2,17.20%,10.70%,13.80%,2.50%,47.10%,86.2
New Orleans Pelicans,82,571,6.40%,0.83,474,179,437,41,41,12.80%,12.10%,9.80%,1.40%,42.60%,34.5
New York Knicks,82,1241,14.30%,0.88,1088,421,944,44.6,44.6,13.70%,13.50%,11.20%,3.30%,44.30%,69
Oklahoma City Thunder,82,612,6.60%,1,614,231,450,51.3,51.3,16.30%,12.30%,13.90%,2.10%,51.00%,100
Orlando Magic,82,626,7.00%,0.9,561,240,505,47.5,47.5,9.10%,11.30%,6.10%,1.30%,45.80%,79.3
Philadelphia 76ers,82,560,6.30%,0.86,479,180,393,45.8,45.8,17.50%,15.90%,14.30%,3.60%,45.00%,58.6
Phoenix Suns,82,743,8.10%,0.75,555,194,508,38.2,38.2,15.60%,17.40%,12.00%,1.60%,38.90%,0
Portland Trail Blazers,82,256,2.90%,0.79,201,80,187,42.8,42.8,12.10%,16.80%,9.00%,2.00%,40.60%,10.3
Sacramento Kings,82,620,6.70%,0.9,561,204,434,47,47,18.90%,14.00%,14.80%,3.10%,47.40%,82.8
San Antonio Spurs,82,1224,14.30%,0.99,1213,476,947,50.3,50.3,14.80%,10.70%,12.90%,2.90%,50.20%,96.6
Toronto Raptors,82,555,6.40%,0.81,447,179,425,42.1,42.1,12.10%,14.20%,11.20%,2.90%,41.30%,17.2
Utah Jazz,82,352,4.10%,0.84,295,114,266,42.9,42.9,14.50%,12.80%,11.10%,2.80%,43.50%,48.3
Washington Wizards,82,463,5.20%,0.84,389,162,343,47.2,47.2,13.80%,13.80%,11.70%,1.70%,43.80%,51.7
